X,Y,OBJECTID,DIRECCION,VELOCIDAD_MAXIMA,TIPO_ESTRUCTURA,SENTIDO,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5652415203025,6.22238060354412,103,Cr 38 Cl 19,60,CAMARA,NORTE-SUR,835339.3975,1180061.5731,-75.56524152,6.2223806
-75.5899411639252,6.19738519446317,120,Cr 52 Cl 12A Sur,60,CAMARA,SUR-NORTE,832605.1588,1177296.8041,-75.58994116,6.19738519
-75.5813104842684,6.25610791942767,93,Cl 50 Cr 65,60,CAMARA,OCCIDENTE-ORIENTE,833560.7722,1183792.3047,-75.58131048,6.25610792
-75.5663793129803,6.24469029831887,107,Cr 45 Cl 46,60,CAMARA,SUR-NORTE,835213.4574,1182529.3313,-75.56637931,6.2446903
-75.5862008330442,6.20650623049189,122,Cr 52 Cl 2 Sur,60,CAMARA,SUR-NORTE,833019.2519,1178305.6975,-75.58620083,6.20650623
-75.5828679604111,6.25988539517144,96,Cl 54 Cr 67B,60,CAMARA,OCCIDENTE-ORIENTE,833388.3939,1184210.1509,-75.58286796,6.2598854
-75.5626666359097,6.25529791719287,111,Cr 48 Cl 58,,CAMARA,ORIENTE-OCCIDENTE,835624.407,1183702.6796,-75.56266664,6.25529792
-75.5705090913724,6.2744402162337,126,Cr 64 Cl 76,80,CAMARA,NORTE-SUR,834756.3693,1185820.083,-75.57050909,6.27444022
-75.568288398332,6.20972820654813,3,Cl 10 Cr 40,60,CAMARA,OCCIDENTE-ORIENTE,835002.1167,1178662.0458,-75.5682884,6.20972821
-75.5717230250821,6.25129182875923,17,Cl 50 Cr 55,60,CAMARA,ORIENTE-OCCIDENTE,834621.9738,1183259.5557,-75.57172303,6.25129183
-75.5697393869589,6.24083522143331,30,Cr 46 Cl 41,60,CAMARA,SUR-NORTE,834841.5284,1182102.9092,-75.56973939,6.24083522
-75.5625278101894,6.25297376243808,31,Cr 46 Cl 57,60,CAMARA,SUR-NORTE,835639.7744,1183445.5963,-75.56252781,6.25297376
-75.5627381081759,6.25535640120055,34,Cr 48 Cl 58,60,CAMARA,ORIENTE-OCCIDENTE,835616.4959,1183709.1487,-75.56273811,6.2553564
-75.5826142951284,6.19004261383526,35,Cr 49 Cl 17A Sur,80,CAMARA,SUR-NORTE,833416.212,1176484.5812,-75.5826143,6.19004261
-75.5826676220066,6.18962042655883,36,Cr 49 Cl 17 Sur,80,CAMARA,SUR-NORTE,833410.3071,1176437.8817,-75.58266762,6.18962043
-75.5799054702227,6.20325246707458,40,Cr 50 Cl 4 Sur,80,CAMARA,NORTE-SUR,833716.1229,1177945.7627,-75.57990547,6.20325247
-75.5642674436783,6.26127439706092,41,Cr 51 Cl 64,60,CAMARA,SUR-NORTE,835447.2171,1184363.7597,-75.56426744,6.2612744
-75.5795580373323,6.22256456313892,46,Cr 52 Cl 21,60,CAMARA,SUR-NORTE,833754.6423,1180081.9441,-75.57955804,6.22256456
-75.5651490966559,6.29011991178111,48,Cr 63 Cl 94A,80,CAMARA,SUR-NORTE,835349.632,1187554.4689,-75.5651491,6.29011991
-75.5832656623014,6.24839139968629,53,Carrera 65 por Calle 44,,CAMARA,SUR-NORTE,833344.3293,1182938.759,-75.58326566,6.2483914
-75.5877369072408,6.2533899835813,59,Cr 70 Cl 47D,,CAMARA,NORTE-SUR,832849.4367,1183491.6902,-75.58773691,6.25338998
-75.6447085170821,6.27901078204186,65,Conexión vial Aburrá-Cauca,60,CAMARA,OCCIDENTE-ORIENTE,826543.81,1186326.3146,-75.64470852,6.27901078
-75.6450190534399,6.27909855683422,66,Conexión vial Aburrá-Cauca,60,CAMARA,ORIENTE-OCCIDENTE,826509.4406,1186336.0289,-75.64501905,6.27909856
-75.6061999566633,6.27680000567203,67,Tunel de Occidente Occ - Ori,,CAMARA,N/A,830806.0076,1186081.2836,-75.60619996,6.27680001
-75.5524472658814,6.2158786686165,68,Cl 18 Cr 23,60,CAMARA,ORIENTE-OCCIDENTE,836755.6645,1179342.3862,-75.55244727,6.21587867
-75.552697992525,6.21610136658547,69,Cl 18 Cr 23,60,CAMARA,OCCIDENTE-ORIENTE,836727.9096,1179367.019,-75.55269799,6.21610137
-75.6028558337887,6.2436910110823,70,Cr 81 Cl 35,60,CAMARA,NORTE-SUR,831175.8798,1182418.9473,-75.60285583,6.24369101
-75.5992749743759,6.21898048200206,71,Cr 81 Cr 76,60,CAMARA,NORTE-SUR,831572.0662,1179685.597,-75.59927497,6.21898048
-75.5991953865639,6.21908252426896,72,Cr 81 Cr 76,60,CAMARA,NORTE-SUR,831580.8769,1179696.8837,-75.59919539,6.21908252
-75.5655084244042,6.20962444881053,73,Cl 10A Cr 36,60,CAMARA,ORIENTE-OCCIDENTE,835309.8511,1178650.5676,-75.56550842,6.20962445
-75.5655234825148,6.20951944191231,74,Cl 10A Cr 36,60,CAMARA,ORIENTE-OCCIDENTE,835308.1842,1178638.9524,-75.56552348,6.20951944
-75.5748082716189,6.21265630299944,76,Cl 10 Cr 43F,60,CAMARA,OCCIDENTE-ORIENTE,834280.3932,1178985.9425,-75.57480827,6.2126563
-75.5748541607605,6.21258729441032,77,Cl 10 Cr 43F,,CAMARA,OCCIDENTE-ORIENTE,834275.3133,1178978.3093,-75.57485416,6.21258729
-75.5769078416846,6.21323412716167,78,Cl 10 Cr 48,60,CAMARA,OCCIDENTE-ORIENTE,834047.9801,1179049.8626,-75.57690784,6.21323413
-75.5768893187821,6.21326851120721,79,Cl 10 Cr 48,60,CAMARA,OCCIDENTE-ORIENTE,834050.0306,1179053.6659,-75.57688932,6.21326851
-75.585250789914,6.19658367742146,80,Cl 12 Sur Cr 50FF,60,CAMARA,NORTE-SUR,833124.3772,1177208.123,-75.58525079,6.19658368
-75.5711806730934,6.22884549743903,81,Cl 29 Cr 44,60,CAMARA,ORIENTE-OCCIDENTE,834681.9761,1180776.6831,-75.57118067,6.2288455
-75.5871083480225,6.23184883774024,82,Cl 30 Cr 66B,60,CAMARA,ORIENTE-OCCIDENTE,832918.91,1181108.9413,-75.58710835,6.23184884
-75.5969553061078,6.23895369220704,83,Cl 33 Cr 76,60,CAMARA,OCCIDENTE-ORIENTE,831828.9759,1181894.8916,-75.59695531,6.23895369
-75.6066045880972,6.2442286939285,84,Cl 35 Cr 84,60,CAMARA,ORIENTE-OCCIDENTE,830760.9358,1182478.4537,-75.60660459,6.24422869
-75.5734606367594,6.23854137151376,85,Cl 37 Cr 51,60,CAMARA,OCCIDENTE-ORIENTE,834429.6178,1181849.1832,-75.57346064,6.23854137
-75.5725506309362,6.24537409042531,86,Cl 44 Cr 53,60,CAMARA,ORIENTE-OCCIDENTE,834530.3581,1182604.974,-75.57255063,6.24537409
-75.5725286411647,6.24547706532661,87,Cl 44 Cr 53A,60,CAMARA,ORIENTE-OCCIDENTE,834532.7923,1182616.3644,-75.57252864,6.24547706
-75.5732742064962,6.2392674418681,88,Cl 38 Cr 52,60,CAMARA,ORIENTE-OCCIDENTE,834450.2552,1181929.4962,-75.57327421,6.23926744
-75.5890281367686,6.2491442568567,90,Cl 44 Cr 70,60,CAMARA,OCCIDENTE-ORIENTE,832706.4919,1183022.061,-75.58902814,6.24914426
-75.5971379772329,6.25011718665509,91,Cl 44 Cr 78,60,CAMARA,OCCIDENTE-ORIENTE,831808.8315,1183129.7283,-75.59713798,6.25011719
-75.5812764232083,6.25618864918177,92,Cl 50 Cr 65,60,CAMARA,OCCIDENTE-ORIENTE,833564.5426,1183801.2344,-75.58127642,6.25618865
-75.5807805262903,6.25597701607201,94,Cl 50 Cr 65,60,CAMARA,ORIENTE-OCCIDENTE,833619.4313,1183777.8232,-75.58078053,6.25597702
-75.5807568655492,6.25608465444158,95,Cl 50 Cr 65,60,CAMARA,ORIENTE-OCCIDENTE,833622.0506,1183789.7294,-75.58075687,6.25608465
-75.5721778720182,6.25812008147853,97,Cl 57B Cr 57,60,CAMARA,OCCIDENTE-ORIENTE,834571.6381,1184014.8547,-75.57217787,6.25812008
-75.5564764275911,6.26166231307175,98,Cl 66 Cr 45,60,CAMARA,OCCIDENTE-ORIENTE,836309.5733,1184406.6759,-75.55647643,6.26166231
-75.5724228879692,6.28216943538725,99,Cl 89 Cr 65,60,CAMARA,OCCIDENTE-ORIENTE,834544.5563,1186675.0432,-75.57242289,6.28216944
-75.5607709162766,6.18984440483082,100,Cr 25 Cl 9A Sur,60,CAMARA,SUR-NORTE,835834.2955,1176462.6254,-75.56077092,6.1898444
-75.5698154974298,6.18606404711578,101,Cr 34 Cl 16 A Sur,60,CAMARA,NORTE-SUR,834833.0473,1176044.4668,-75.5698155,6.18606405
-75.5652909382105,6.22210911544841,102,Cr 38 Cl 19,60,CAMARA,SUR-NORTE,835333.9272,1180031.5428,-75.56529094,6.22210912
-75.5699345879181,6.23144885823633,104,Cr 43A Cl 31,60,CAMARA,NORTE-SUR,834819.9116,1181064.649,-75.56993459,6.23144886
-75.5700354566427,6.23144311746667,105,Cr 43A Cl 31,60,CAMARA,NORTE-SUR,834808.7462,1181064.0141,-75.57003546,6.23144312
-75.5708282710762,6.20961849240864,106,Cr 43A Cl 9,60,CAMARA,SUR-NORTE,834720.9606,1178649.9124,-75.57082827,6.20961849
-75.5696624180029,6.24071418830795,108,Cr 46 Cl 41,60,CAMARA,SUR-NORTE,834850.048,1182089.5212,-75.56966242,6.24071419
-75.5757631273283,6.21809102035767,109,Cr 48 Cl 16A,60,CAMARA,NORTE-SUR,834174.7066,1179587.0988,-75.57576313,6.21809102
-75.577137861526,6.20307177527977,110,Carrera 48 por Calle 4 Sur,,CAMARA,SUR-NORTE,834022.4918,1177925.7678,-75.57713786,6.20307178
-75.582562935732,6.1895981850933,113,Cr 49 Cl 17 Sur,,CAMARA,SUR-NORTE,833421.8959,1176435.4211,-75.58256294,6.18959819
-75.5766384193532,6.22063726565326,114,Cr 49 Cl 18,80,CAMARA,SUR-NORTE,834077.8223,1179868.7505,-75.57663842,6.22063727
-75.5765265571972,6.22062267771638,115,Cr 49 Cl 18,80,CAMARA,SUR-NORTE,834090.2048,1179867.1366,-75.57652656,6.22062268
-75.5766895700863,6.22064109134301,116,Cr 49 Cl 18,,CAMARA,SUR-NORTE,834072.1602,1179869.1738,-75.57668957,6.22064109
-75.5767985649557,6.22065807322683,117,Cr 49 Cl 18,,CAMARA,SUR-NORTE,834060.0951,1179871.0525,-75.57679857,6.22065807
-75.5774948024327,6.21983117306968,118,Cr 50 Cl 14,80,CAMARA,NORTE-SUR,833983.0232,1179779.5878,-75.5774948,6.21983117
-75.589836475209,6.19735003741567,119,Cr 52 Cl 12A Sur,60,CAMARA,SUR-NORTE,832616.7476,1177292.9147,-75.58983648,6.19735004
-75.5801761161992,6.22023168456008,121,Cr 52 Cl 17,60,CAMARA,SUR-NORTE,833686.2171,1179823.8977,-75.58017612,6.22023168
-75.5861368591126,6.20701192177027,123,Cr 52 Cl 2 Sur,60,CAMARA,NORTE-SUR,833026.3359,1178361.6336,-75.58613686,6.20701192
-75.5725735930731,6.25061566033006,124,Cr 55 Cl 49,60,CAMARA,NORTE-SUR,834527.8249,1183184.7635,-75.57257359,6.25061566
-75.5715649049377,6.26983636298913,125,Cr 64 C Cl 72,80,CAMARA,NORTE-SUR,834639.5019,1185310.8351,-75.57156491,6.26983636
-75.5891344755374,6.20733924110282,127,Cr 65 Cl 2A Sur,60,CAMARA,SUR-NORTE,832694.5091,1178397.8539,-75.58913448,6.20733924
-75.583613189501,6.22635880823541,128,Cr 65 Cl 25,60,CAMARA,SUR-NORTE,833305.7754,1180501.6538,-75.58361319,6.22635881
-75.5833904368367,6.24835025394983,130,Carrera 65 por Calle 44,,CAMARA,SUR-NORTE,833330.518,1182934.2082,-75.58339044,6.24835025
-75.5733169158939,6.27660233589989,131,Cr 65 Cl 80,60,CAMARA,NORTE-SUR,834445.5939,1186059.2472,-75.57331692,6.27660234
-75.5701513559506,6.28969755184563,132,Cr 65 Cl 95,60,CAMARA,NORTE-SUR,834795.9816,1187507.753,-75.57015136,6.28969755
-75.5839352572688,6.2452286195459,133,Carrera 66B por Carrera 65,,CAMARA,OCCIDENTE-ORIENTE,833270.2,1182588.9148,-75.58393526,6.24522862
-75.5919138887691,6.22251678783446,134,Cr 70 Cl 19,60,CAMARA,NORTE-SUR,832386.9211,1180076.7135,-75.59191389,6.22251679
-75.5920654994936,6.22301391826789,135,Carrera 70  Calle 19 N - S,,CAMARA,NORTE-SUR,832370.1415,1180131.7038,-75.5920655,6.22301392
-75.5878576198488,6.25339069524999,137,Cr 70 Cl 47D,60,CAMARA,NORTE-SUR,832836.0753,1183491.7695,-75.58785762,6.2533907
-75.59624885157,6.23110902402314,138,Cr 76 Cl 30,60,CAMARA,SUR-NORTE,831907.1223,1181027.1591,-75.59624885,6.23110902
-75.5953076876716,6.26925667433393,139,Cr 80 Cl 55,60,CAMARA,SUR-NORTE,832011.5459,1185246.8059,-75.59530769,6.26925667
-75.5892404025938,6.27743442171339,140,Cr 80 Cl 76,60,CAMARA,NORTE-SUR,832683.1416,1186151.342,-75.5892404,6.27743442
-75.5894214028294,6.23935641893883,141,Deprimido Calle 33 Ori - Occ,,CAMARA,N/A,832662.9114,1181939.394,-75.5894214,6.23935642
-75.589775478299,6.2391362786375,142,Dg 74B Cl 32F,60,CAMARA,SUR-NORTE,832623.7174,1181915.0453,-75.58977548,6.23913628
