OBJECTID,COMUNA,SECTOR,NOMBRE,SHAPEAREA,SHAPELEN
1,04,1,ARANJUEZ,4889196.1668581,9970.44596088243
2,05,2,CASTILLA,6047933.99295099,16196.7374931059
3,15,6,GUAYABAL,7336242.86238879,12944.7285144723
4,11,4,LAURELES,7292276.7430189,16610.4010045931
5,03,1,MANRIQUE,4903629.3417132,14388.2062311133
6,50,7,PALMITAS,57776398.8973323,41021.0986149352
7,70,8,ALTAVISTA,28591204.8077608,36767.9052704472
8,14,5,EL POBLADO,14513719.6850431,21923.2004751543
9,12,4,LA AMERICA,4143412.81635391,14440.3719836894
10,13,4,SAN JAVIER,5127487.88906813,26017.4557269566
11,02,1,SANTA CRUZ,2199713.91181304,8667.76512309187
12,90,9,SANTA ELENA,74254814.7192869,74217.1078962127
13,09,3,BUENOS AIRES,6007777.75687635,21065.7951782184
14,10,3,LA CANDELARIA,7359511.61185868,13743.5518277198
15,60,7,SAN CRISTOBAL,54685943.031547,53495.9722327751
16,08,3,VILLA HERMOSA,5900458.71518289,17028.1462508958
17,06,2,DOCE DE OCTUBRE,3914725.26206993,10727.7235574209
18,80,8,SAN ANTONIO DE PRADO,60746974.0476258,43084.7155491949
19,16,6,BELEN,8660298.251722,24765.7292883162
20,01,1,POPULAR,3166508.79321338,10593.5888184586
21,07,2,ROBLEDO,9279324.52051433,22884.8928048917
